start_date,total_sessions,total_duration_minutes,avg_duration_minutes,completed_sessions,material_types,total_jobs,success_rate,utilization_hours
2023-11-13,2,9.77,4.88,2,1,2,100.0,0.2
2023-11-14,3,13.35,4.45,3,1,1,100.0,0.2
2023-11-15,4,31.2,7.8,4,1,4,100.0,0.5
2023-11-16,5,27.28,5.46,5,1,4,100.0,0.5
2023-11-18,8,42.27,5.28,8,1,7,100.0,0.7
2023-11-20,6,31.12,5.19,6,1,4,100.0,0.5
2023-11-21,1,4.72,4.72,1,1,0,100.0,0.1
2023-11-22,5,96.67,19.33,5,1,8,100.0,1.6
2023-11-23,4,25.05,6.26,4,1,4,100.0,0.4
2023-11-25,3,17.43,5.81,3,1,3,100.0,0.3
2023-11-27,5,25.37,5.07,5,1,4,100.0,0.4
2023-11-28,2,10.45,5.22,2,1,2,100.0,0.2
2023-11-29,2,10.37,5.18,2,1,2,100.0,0.2
2023-11-30,2,10.6,5.3,2,1,2,100.0,0.2
2023-12-01,5,31.13,6.23,5,1,5,100.0,0.5
2023-12-02,4,16.28,4.07,4,1,4,100.0,0.3
2023-12-04,2,144.97,72.48,2,1,12,100.0,2.4
2023-12-05,5,20.52,4.1,5,1,4,100.0,0.3
2023-12-06,1,4.47,4.47,1,1,1,100.0,0.1
2023-12-07,2,20.1,10.05,2,1,2,100.0,0.3
2023-12-08,2,9.62,4.81,2,1,2,100.0,0.2
2023-12-09,2,11.02,5.51,2,1,2,100.0,0.2
2023-12-11,3,18.9,6.3,3,1,3,100.0,0.3
2023-12-12,4,35.6,8.9,4,1,4,100.0,0.6
2023-12-13,1,4.37,4.37,1,1,1,100.0,0.1
2023-12-14,1,4.63,4.63,1,1,1,100.0,0.1
2023-12-15,4,21.1,5.28,4,1,4,100.0,0.4
2023-12-18,3,21.52,7.17,3,1,1,100.0,0.4
2023-12-19,1,4.53,4.53,1,1,1,100.0,0.1
2023-12-20,2,11.62,5.81,2,1,2,100.0,0.2
2023-12-21,2,9.47,4.73,2,1,2,100.0,0.2
2023-12-22,1,4.93,4.93,1,1,1,100.0,0.1
2023-12-23,2,5.9,2.95,2,1,1,100.0,0.1
2023-12-27,2,9.58,4.79,2,1,2,100.0,0.2
2023-12-29,1,4.47,4.47,1,1,1,100.0,0.1
2023-12-30,4,45.15,11.29,4,1,4,100.0,0.8
2024-01-02,2,8.75,4.38,2,1,2,100.0,0.1
2024-01-03,1,5.05,5.05,1,1,1,100.0,0.1
2024-01-08,8,57.57,7.2,8,1,5,100.0,1.0
2024-01-09,1,5.4,5.4,1,1,0,100.0,0.1
2024-01-10,3,12.6,4.2,3,1,3,100.0,0.2
2024-01-11,3,14.3,4.77,3,1,3,100.0,0.2
2024-01-12,2,9.28,4.64,2,1,2,100.0,0.2
2024-01-13,1,6.32,6.32,1,1,1,100.0,0.1
2024-01-15,6,32.72,5.45,6,1,6,100.0,0.5
2024-01-16,6,29.58,4.93,6,1,3,100.0,0.5
2024-01-17,1,4.5,4.5,1,1,1,100.0,0.1
2024-01-18,8,48.75,6.09,8,1,8,100.0,0.8
2024-01-19,3,71.87,23.96,3,1,9,100.0,1.2
2024-01-22,3,26.73,8.91,3,1,3,100.0,0.4
2024-01-23,8,73.42,9.18,8,1,7,100.0,1.2
2024-01-24,8,41.9,5.24,8,1,8,100.0,0.7
2024-01-25,16,66.92,4.18,16,1,15,100.0,1.1
2024-01-26,6,30.57,5.09,6,1,4,100.0,0.5
2024-01-27,2,10.82,5.41,2,1,0,100.0,0.2
2024-01-29,6,26.02,4.34,6,1,2,100.0,0.4
2024-01-30,6,42.2,7.03,6,1,0,100.0,0.7
2024-01-31,10,702.37,70.24,10,1,10,100.0,11.7
2024-02-01,7,35.88,5.13,7,1,3,100.0,0.6
2024-02-03,2,9.23,4.62,2,1,2,100.0,0.2
2024-02-05,3,12.52,4.17,3,1,3,100.0,0.2
2024-02-06,10,98.52,9.85,10,1,6,100.0,1.6
2024-02-07,9,709.48,78.83,9,1,8,100.0,11.8
2024-02-08,7,37.03,5.29,7,1,1,100.0,0.6
2024-02-09,8,51.33,6.42,8,1,4,100.0,0.9
2024-02-10,1,5.82,5.82,1,1,0,100.0,0.1
2024-02-12,3,29.6,9.87,3,1,3,100.0,0.5
2024-02-13,4,17.28,4.32,4,1,4,100.0,0.3
2024-02-14,6,30.45,5.08,6,1,6,100.0,0.5
2024-02-15,7,55.67,7.95,7,1,7,100.0,0.9
2024-02-16,4,794.22,198.55,4,1,2,100.0,13.2
2024-02-17,5,27.97,5.59,5,1,4,100.0,0.5
2024-02-19,4,511.23,127.81,4,1,2,100.0,8.5
